City,Check-in,Check-out,Hotel Name,Price,Rating,Room Type,Features,Image URL
Indore,,,Hotel Winway,"3,600","Scored 8.0
8.0
Very good
108 reviews",Standard King Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/203224551.webp?k=4333cf2a50a15f2c65c8838fdf6104096ccacc7013a6838c7f06e06bc653eb4f&o=
Indore,,,Hotel O Ocean Pearl,854,"Scored 8.2
8.2
Very good
5 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/645094142.webp?k=b5c98ae773f92bb7a06816de50ee604ffba56214b824ab2f54f9db26b6850431&o=
Indore,,,Hotel O Shri Shiv,629,N/A,Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/651707124.webp?k=2d4ac0d3b5a143085b4045ba0ff214402a2a13604f21b56ee8bec1526e7aa288&o=
Indore,,,Super Collection O Verena,800,"Scored 6.5
6.5
Review score
108 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/637725363.webp?k=0bc488b22b6d85f27a345a92bd05f7443bc0d849b0604953058687327c665fd4&o=
Indore,,,FabHotel The Gravity Inn,"2,186","Scored 9.3
9.3
Superb
20 reviews",Executive Triple Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/512573738.webp?k=32c5342c21d0bfeb8991d1a4ad37584b2c1331c7c9ec4dfc2511d71507df2388&o=
Indore,,,Treebo Royal Empire ,"1,675","Scored 7.2
7.2
Good
142 reviews",Standard Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/330602783.webp?k=3e56a750d589f369cc11d6bd9ad98be7fc2016a562e165693925bc76da29c0ac&o=
Indore,,,Treebo Musk,"1,712","Scored 8.3
8.3
Very good
12 reviews",Standard Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/592868646.webp?k=b23a2dc25d1b1af0f4ce6fec9f74b2f748df5e1f00417b31314f34d7d07b7e90&o=
Indore,,,Treebo Merit,"2,297","Scored 8.0
8.0
Very good
42 reviews",Deluxe Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/403927699.webp?k=6c7dd2c40463d4d90678de872a4f11eb372b3e2632cb65d63ad5176ea6c77860&o=
Indore,,,Hotel Solaris,"3,182","Scored 6.7
6.7
Review score
19 reviews",Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/595177287.webp?k=fa212ecb409cafd4f41f36da5207aa01b981c0f0fdcfaf7c4233fdf41ef4615d&o=
Indore,,,Treebo A5,"1,455","Scored 6.9
6.9
Review score
58 reviews",Standard Room With Working Desk,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/330716970.webp?k=b53183d92ff9d2f152f7030bf0ccfaddcf96f4dc519f6ba1c0af5d43be73beec&o=
