Departure,From,Arival,To,Airline,Duration,Stops,Layover time,layover,Via,layover at,Price
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,2 stops,14 hrs layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,2 stops,13 hrs 30 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,2 stops,17 hrs 50 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,3 stops,14 hrs 30 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,3 stops,13 hrs 35 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,3 stops,13 hrs 20 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,3 stops,15 hrs 45 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,3 stops,15 hrs 55 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,3 stops,14 hrs 25 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,2 stops,15 hrs 20 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
15:40,Varanasi,12:00,Bhopal,Air India,20 hrs 20 min,2 stops,10 hrs 30 min layover,Overnight layover,DEL,Indira Gandhi International Airport,
